time,values
2.712,-0.759
2.714,-0.276
2.716,0.226
2.718,-0.332
2.72,-0.624
2.722,0.496
2.724,0.189
2.726,0.368
2.728,-0.375
2.73,0.573
2.732,-0.114
2.734,-0.344
2.736,0.506
2.738,0.206
2.74,0.384
2.742,0.39
2.744,0.0716
2.746,1.01
2.748,0.997
2.75,0.373
2.752,-0.855
2.754,1
2.756,0.2
2.758,-0.121
2.76,0.271
2.762,-0.396
2.764,-0.123
2.766,0.0428
2.768,-0.378
2.77,-0.733
2.772,0.312
2.774,0.696
2.776,-0.53
2.778,0.269
2.78,0.46
2.782,0.599
2.784,0.219
2.786,-0.145
2.788,-0.406
2.79,-0.903
2.792,0.348
2.794,-0.12
2.796,-0.57
2.798,0.836
2.8,-0.454
2.802,0.203
2.804,0.905
2.806,0.333
2.808,1.16
2.81,0.229
2.812,0.426
2.814,-0.00696
2.816,-0.558
2.818,-0.563
2.82,0.189
2.822,-0.832
2.824,-0.515
2.826,-0.0716
2.828,-0.679
2.83,0.0927
2.832,0.583
2.834,0.0408
2.836,-0.629
2.838,-0.623
2.84,0.903
2.842,-0.942
2.844,0.218
2.846,-0.973
2.848,0.793
2.85,0.171
2.852,1
2.854,0.093
2.856,-0.531
2.858,0.925
2.86,-0.208
2.862,0.321
2.864,-0.0994
2.866,0.412
2.868,-0.836
2.87,-0.161
2.872,-0.286
2.874,0.617
2.876,0.491
2.878,-0.361
2.88,0.571
2.882,0.26
2.884,0.543
2.886,-0.404
2.888,0.46
2.89,0.122
2.892,0.111
2.894,0.958
2.896,-0.208
2.898,-0.358
2.9,0.519
2.902,-0.193
2.904,-0.903
2.906,-0.777
2.908,1.1
2.91,0.787
2.912,-0.166
2.914,-0.0851
2.916,0.67
2.918,-0.817
2.92,0.0842
2.922,-0.825
2.924,-0.849
2.926,0.27
2.928,0.962
2.93,0.139
2.932,1.11
2.934,0.223
2.936,0.659
2.938,0.208
2.94,0.761
2.942,0.476
2.944,0.387
2.946,0.0213
2.948,-1
2.95,0.746
2.952,0.0102
2.954,-0.196
2.956,0.136
2.958,-0.313
2.96,0.803
2.962,0.538
2.964,0.846
2.966,0.319
2.968,-0.719
2.97,0.838
2.972,-0.325
2.974,-0.131
2.976,-0.775
2.978,0.676
2.98,-0.412
2.982,-0.388
2.984,-0.255
2.986,0.75
2.988,-0.306
2.99,0.121
2.992,-0.267
2.994,-0.304
2.996,-0.0184
2.998,0.522
3,0.45
3.002,-0.431
3.004,-0.0397
3.006,0.793
3.008,0.579
3.01,-0.533
3.012,0.409
3.014,0.373
3.016,-0.5
3.018,0.0825
3.02,-0.28
3.022,-0.566
3.024,0.25
3.026,-0.189
3.028,-0.829
3.03,0.572
3.032,-0.752
3.034,-0.464
3.036,0.321
3.038,-0.264
3.04,1.02
3.042,-0.893
3.044,0.136
3.046,-0.0745
3.048,0.0681
3.05,0.0135
3.052,-0.683
3.054,-0.257
3.056,-0.562
3.058,0.252
3.06,-1.08
3.062,0.1
3.064,0.923
3.066,0.536
3.068,0.945
3.07,-0.153
3.072,0.471
3.074,-0.24
3.076,-0.348
3.078,-0.494
3.08,-0.734
3.082,0.562
3.084,0.261
3.086,0.457
3.088,-0.99
3.09,-0.193
3.092,0.789
3.094,-0.541
3.096,0.778
3.098,-0.339
3.1,0.127
3.102,0.854
3.104,0.662
3.106,0.722
3.108,-0.467
3.11,0.383
3.112,-0.723
3.114,-0.859
3.116,-0.589
3.118,0.732
3.12,0.227
3.122,0.141
3.124,-0.169
3.126,0.906
3.128,0.244
3.13,-0.55
3.132,-0.587
3.134,-0.152
3.136,-0.691
3.138,-0.862
3.14,0.193
3.142,-0.585
3.144,0.879
3.146,0.136
3.148,0.535
3.15,-0.563
3.152,0.0379
3.154,-0.303
3.156,-0.518
3.158,0.0748
3.16,0.731
3.162,0.377
3.164,0.386
3.166,-0.326
3.168,0.463
3.17,-0.0028
3.172,-0.188
3.174,-0.557
3.176,-0.0972
3.178,0.719
3.18,-0.4
3.182,0.406
3.184,-0.295
3.186,0.073
3.188,-0.303
3.19,-0.558
3.192,0.584
3.194,-0.497
3.196,-0.171
3.198,-0.871
3.2,-0.836
3.202,-0.226
3.204,0.912
3.206,-0.289
3.208,-0.511
3.21,0.0295
3.212,0.0776
3.214,0.409
3.216,-0.744
3.218,-0.0355
3.22,0.106
3.222,0.0654
3.224,0.0498
3.226,0.111
3.228,0.0656
3.23,0.0298
3.232,0.0726
3.234,0.0579
3.236,0.115
3.238,0.0441
3.24,0.0312
3.242,0.116
3.244,0.0945
3.246,0.12
